name,lat,lon
KM 58,-33.6710277272984,-71.11484302218
KM 58.1,-33.6708447547682,-71.11587773337
KM 58.2,-33.6706866630395,-71.11684616338
KM 58.3,-33.6705037027705,-71.11800271218
KM 58.4,-33.6703527259414,-71.1190331233
KM 58.5,-33.670201752022,-71.12011911274
KM 58.6,-33.6700667724599,-71.12116661243
KM 58.7,-33.6699335759383,-71.12227396373
KM 58.8,-33.6698128165,-71.12335138241
KM 58.9,-33.6697098312017,-71.12439458865
KM 59,-33.669608628001,-71.12549337357
KM 59.1,-33.6695180811107,-71.12655367475
KM 59.2,-33.6694328667628,-71.12763321007
KM 59.3,-33.6693600943593,-71.12870633107
